,Width##LENGTH##INCHES,Height##LENGTH##INCHES,Designation##OTHER##,Type Comments##OTHER##,. . Lights Wide##OTHER##,. . Lights High##OTHER##,Fractional Lights Wide##OTHER##,Fractional Lights High##OTHER##
"33-1/4"" x 59-1/4""",33.25,59.25,ACW21050,Fiberglass and Fibrex clad wood casement window,3,5,3,5
"33-1/4"" x 63-1/4""",33.25,63.25,ACW21054,Fiberglass and Fibrex clad wood casement window,3,5,3,5
"33-1/4"" x 67-1/4""",33.25,67.25,ACW21058,Fiberglass and Fibrex clad wood casement window,3,6,3,6
"33-1/4"" x 71-1/4""",33.25,71.25,ACW21060,Fiberglass and Fibrex clad wood casement window,3,6,3,6
"35-1/4"" x 31-1/4""",35.25,31.25,ACW3028,Fiberglass and Fibrex clad wood casement window,3,2,3,2
"35-1/4"" x 35-1/4""",35.25,35.25,ACW3030,Fiberglass and Fibrex clad wood casement window,3,3,3,3
"35-1/4"" x 39-1/4""",35.25,39.25,ACW3034,Fiberglass and Fibrex clad wood casement window,3,3,3,3
"35-1/4"" x 43-1/4""",35.25,43.25,ACW3038,Fiberglass and Fibrex clad wood casement window,3,3,3,3
"35-1/4"" x 47-1/4""",35.25,47.25,ACW3040,Fiberglass and Fibrex clad wood casement window,3,4,3,4
"35-1/4"" x 51-1/4""",35.25,51.25,ACW3044,Fiberglass and Fibrex clad wood casement window,3,4,3,4
"35-1/4"" x 55-1/4""",35.25,55.25,ACW3048,Fiberglass and Fibrex clad wood casement window,3,5,3,5
"35-1/4"" x 59-1/4""",35.25,59.25,ACW3050,Fiberglass and Fibrex clad wood casement window,3,5,3,5
"35-1/4"" x 63-1/4""",35.25,63.25,ACW3054,Fiberglass and Fibrex clad wood casement window,3,5,3,5
"35-1/4"" x 67-1/4""",35.25,67.25,ACW3058,Fiberglass and Fibrex clad wood casement window,3,6,3,6
"35-1/4"" x 71-1/4""",35.25,71.25,ACW3060,Fiberglass and Fibrex clad wood casement window,3,6,3,6
