,Width##LENGTH##INCHES,Height##LENGTH##INCHES,Designation##OTHER##,Type Comments##OTHER##,. . Lights Wide##OTHER##,. . Lights High##OTHER##,Fractional Lights Wide##OTHER##,Fractional Lights High##OTHER##
"43-1/4"" x 75-1/4""",43.25,75.25,APW3864,Fibrex clad wood picture window,4,6,4,6
"43-1/4"" x 79-1/4""",43.25,79.25,APW3868,Fibrex clad wood picture window,4,6,4,6
"43-1/4"" x 87-1/4""",43.25,87.25,APW3874,Fibrex clad wood picture window,4,7,4,7
"43-1/4"" x 95-1/4""",43.25,95.25,APW3880,Fibrex clad wood picture window,4,7,4,7
"47-1/4"" x 23-1/4""",47.25,23.25,APW4020,Fibrex clad wood picture window,5,2,5,2
"47-1/4"" x 27-1/4""",47.25,27.25,APW4024,Fibrex clad wood picture window,5,2,5,2
"47-1/4"" x 31-1/4""",47.25,31.25,APW4028,Fibrex clad wood picture window,5,2,5,2
"47-1/4"" x 35-1/4""",47.25,35.25,APW4030,Fibrex clad wood picture window,5,3,5,3
"47-1/4"" x 39-1/4""",47.25,39.25,APW4034,Fibrex clad wood picture window,5,3,5,3
"47-1/4"" x 43-1/4""",47.25,43.25,APW4038,Fibrex clad wood picture window,5,3,5,3
"47-1/4"" x 47-1/4""",47.25,47.25,APW4040,Fibrex clad wood picture window,5,4,5,4
"47-1/4"" x 51-1/4""",47.25,51.25,APW4044,Fibrex clad wood picture window,5,4,5,4
"47-1/4"" x 55-1/4""",47.25,55.25,APW4048,Fibrex clad wood picture window,5,5,5,5
"47-1/4"" x 59-1/4""",47.25,59.25,APW4050,Fibrex clad wood picture window,5,5,5,5
"47-1/4"" x 63-1/4""",47.25,63.25,APW4054,Fibrex clad wood picture window,5,5,5,5
"47-1/4"" x 67-1/4""",47.25,67.25,APW4058,Fibrex clad wood picture window,5,6,5,6
"47-1/4"" x 71-1/4""",47.25,71.25,APW4060,Fibrex clad wood picture window,5,6,5,6
"47-1/4"" x 75-1/4""",47.25,75.25,APW4064,Fibrex clad wood picture window,5,6,5,6
"47-1/4"" x 79-1/4""",47.25,79.25,APW4068,Fibrex clad wood picture window,5,6,5,6
"47-1/4"" x 87-1/4""",47.25,87.25,APW4074,Fibrex clad wood picture window,5,7,5,7
"47-1/4"" x 95-1/4""",47.25,95.25,APW4080,Fibrex clad wood picture window,5,7,5,7
"51-1/4"" x 23-1/4""",51.25,23.25,APW4420,Fibrex clad wood picture window,5,2,5,2
"51-1/4"" x 27-1/4""",51.25,27.25,APW4424,Fibrex clad wood picture window,5,2,5,2
"51-1/4"" x 31-1/4""",51.25,31.25,APW4428,Fibrex clad wood picture window,5,2,5,2
"51-1/4"" x 35-1/4""",51.25,35.25,APW4430,Fibrex clad wood picture window,5,3,5,3
"51-1/4"" x 39-1/4""",51.25,39.25,APW4434,Fibrex clad wood picture window,5,3,5,3
"51-1/4"" x 43-1/4""",51.25,43.25,APW4438,Fibrex clad wood picture window,5,3,5,3
"51-1/4"" x 47-1/4""",51.25,47.25,APW4440,Fibrex clad wood picture window,5,4,5,4
"51-1/4"" x 51-1/4""",51.25,51.25,APW4444,Fibrex clad wood picture window,5,4,5,4
"51-1/4"" x 55-1/4""",51.25,55.25,APW4448,Fibrex clad wood picture window,5,5,5,5
"51-1/4"" x 59-1/4""",51.25,59.25,APW4450,Fibrex clad wood picture window,5,5,5,5
"51-1/4"" x 63-1/4""",51.25,63.25,APW4454,Fibrex clad wood picture window,5,5,5,5
"51-1/4"" x 67-1/4""",51.25,67.25,APW4458,Fibrex clad wood picture window,5,6,5,6
"51-1/4"" x 71-1/4""",51.25,71.25,APW4460,Fibrex clad wood picture window,5,6,5,6
"51-1/4"" x 75-1/4""",51.25,75.25,APW4464,Fibrex clad wood picture window,5,6,5,6
"51-1/4"" x 79-1/4""",51.25,79.25,APW4468,Fibrex clad wood picture window,5,6,5,6
"51-1/4"" x 87-1/4""",51.25,87.25,APW4474,Fibrex clad wood picture window,5,7,5,7
"51-1/4"" x 95-1/4""",51.25,95.25,APW4480,Fibrex clad wood picture window,5,7,5,7
"55-1/4"" x 23-1/4""",55.25,23.25,APW4820,Fibrex clad wood picture window,6,2,6,2
"55-1/4"" x 27-1/4""",55.25,27.25,APW4824,Fibrex clad wood picture window,6,2,6,2
"55-1/4"" x 31-1/4""",55.25,31.25,APW4828,Fibrex clad wood picture window,6,2,6,2
"55-1/4"" x 35-1/4""",55.25,35.25,APW4830,Fibrex clad wood picture window,6,3,6,3
"55-1/4"" x 39-1/4""",51.25,39.25,APW4834,Fibrex clad wood picture window,6,3,6,3
"55-1/4"" x 43-1/4""",51.25,43.25,APW4838,Fibrex clad wood picture window,6,3,6,3
"55-1/4"" x 47-1/4""",51.25,47.25,APW4840,Fibrex clad wood picture window,6,4,6,4
"55-1/4"" x 51-1/4""",51.25,51.25,APW4844,Fibrex clad wood picture window,6,4,6,4
"55-1/4"" x 55-1/4""",51.25,55.25,APW4848,Fibrex clad wood picture window,6,5,6,5
"55-1/4"" x 59-1/4""",51.25,59.25,APW4850,Fibrex clad wood picture window,6,5,6,5
"55-1/4"" x 63-1/4""",51.25,63.25,APW4854,Fibrex clad wood picture window,6,5,6,5
"55-1/4"" x 67-1/4""",51.25,67.25,APW4858,Fibrex clad wood picture window,6,6,6,6
"55-1/4"" x 71-1/4""",51.25,71.25,APW4860,Fibrex clad wood picture window,6,6,6,6
"55-1/4"" x 75-1/4""",51.25,75.25,APW4864,Fibrex clad wood picture window,6,6,6,6
"55-1/4"" x 79-1/4""",51.25,79.25,APW4868,Fibrex clad wood picture window,6,6,6,6
"55-1/4"" x 87-1/4""",51.25,87.25,APW4874,Fibrex clad wood picture window,6,7,6,7
"55-1/4"" x 95-1/4""",51.25,95.25,APW4880,Fibrex clad wood picture window,6,7,6,7
"59-1/4"" x 23-1/4""",59.25,23.25,APW5020,Fibrex clad wood picture window,6,2,6,2
"59-1/4"" x 27-1/4""",59.25,27.25,APW5024,Fibrex clad wood picture window,6,2,6,2
"59-1/4"" x 31-1/4""",59.25,31.25,APW5028,Fibrex clad wood picture window,6,2,6,2
"59-1/4"" x 35-1/4""",59.25,35.25,APW5030,Fibrex clad wood picture window,6,3,6,3
"59-1/4"" x 39-1/4""",59.25,39.25,APW5034,Fibrex clad wood picture window,6,3,6,3
"59-1/4"" x 43-1/4""",59.25,43.25,APW5038,Fibrex clad wood picture window,6,3,6,3
"59-1/4"" x 47-1/4""",59.25,47.25,APW5040,Fibrex clad wood picture window,6,4,6,4
"59-1/4"" x 51-1/4""",59.25,51.25,APW5044,Fibrex clad wood picture window,6,4,6,4
"59-1/4"" x 55-1/4""",59.25,55.25,APW5048,Fibrex clad wood picture window,6,5,6,5
"59-1/4"" x 59-1/4""",59.25,59.25,APW5050,Fibrex clad wood picture window,6,5,6,5
"59-1/4"" x 63-1/4""",59.25,63.25,APW5054,Fibrex clad wood picture window,6,5,6,5
"59-1/4"" x 67-1/4""",59.25,67.25,APW5058,Fibrex clad wood picture window,6,6,6,6
"59-1/4"" x 71-1/4""",59.25,71.25,APW5060,Fibrex clad wood picture window,6,6,6,6
"59-1/4"" x 75-1/4""",59.25,75.25,APW5064,Fibrex clad wood picture window,6,6,6,6
"59-1/4"" x 79-1/4""",59.25,79.25,APW5068,Fibrex clad wood picture window,6,6,6,6
"59-1/4"" x 87-1/4""",59.25,87.25,APW5074,Fibrex clad wood picture window,6,7,6,7
"59-1/4"" x 95-1/4""",59.25,95.25,APW5080,Fibrex clad wood picture window,6,7,6,7
"63-1/4"" x 23-1/4""",63.25,23.25,APW5420,Fibrex clad wood picture window,7,2,7,2
"63-1/4"" x 27-1/4""",63.25,27.25,APW5424,Fibrex clad wood picture window,7,2,7,2
"63-1/4"" x 31-1/4""",63.25,31.25,APW5428,Fibrex clad wood picture window,7,2,7,2
"63-1/4"" x 35-1/4""",63.25,35.25,APW5430,Fibrex clad wood picture window,7,3,7,3
"63-1/4"" x 39-1/4""",63.25,39.25,APW5434,Fibrex clad wood picture window,7,3,7,3
"63-1/4"" x 43-1/4""",63.25,43.25,APW5438,Fibrex clad wood picture window,7,3,7,3
"63-1/4"" x 47-1/4""",63.25,47.25,APW5440,Fibrex clad wood picture window,7,4,7,4
"63-1/4"" x 51-1/4""",63.25,51.25,APW5444,Fibrex clad wood picture window,7,4,7,4
"63-1/4"" x 55-1/4""",63.25,55.25,APW5448,Fibrex clad wood picture window,7,5,7,5
"63-1/4"" x 59-1/4""",63.25,59.25,APW5450,Fibrex clad wood picture window,7,5,7,5
"63-1/4"" x 63-1/4""",63.25,63.25,APW5454,Fibrex clad wood picture window,7,5,7,5
"63-1/4"" x 67-1/4""",63.25,67.25,APW5458,Fibrex clad wood picture window,7,6,7,6
