,Width##LENGTH##INCHES,Height##LENGTH##INCHES,Designation##OTHER##,Type Comments##OTHER##,. . Lights Wide##OTHER##,. . Lights High##OTHER##,Fractional Lights Wide##OTHER##,Fractional Lights High##OTHER##
"43-1/4"" x 15-1/4""",43.25,15.25,ATV3814,Fiberglass and Fibrex clad wood venting tansom window,4,1,4,1
"43-1/4"" x 19-1/4""",43.25,19.25,ATV3818,Fiberglass and Fibrex clad wood venting tansom window,4,1,4,1
"43-1/4"" x 21-1/4""",43.25,21.25,ATV38110,Fiberglass and Fibrex clad wood venting tansom window,4,1,4,1
"43-1/4"" x 23-1/4""",43.25,23.25,ATV3820,Fiberglass and Fibrex clad wood venting tansom window,4,2,4,2
"43-1/4"" x 27-1/4""",43.25,27.25,ATV3824,Fiberglass and Fibrex clad wood venting tansom window,4,2,4,2
"43-1/4"" x 31-1/4""",43.25,31.25,ATV3828,Fiberglass and Fibrex clad wood venting tansom window,4,2,4,2
"43-1/4"" x 35-1/4""",43.25,35.25,ATV3830,Fiberglass and Fibrex clad wood venting tansom window,4,3,4,3
"47-1/4"" x 15-1/4""",47.25,15.25,ATV4014,Fiberglass and Fibrex clad wood venting tansom window,5,1,5,1
"47-1/4"" x 19-1/4""",47.25,19.25,ATV4018,Fiberglass and Fibrex clad wood venting tansom window,5,1,5,1
"47-1/4"" x 21-1/4""",47.25,21.25,ATV40110,Fiberglass and Fibrex clad wood venting tansom window,5,1,5,1
"47-1/4"" x 23-1/4""",47.25,23.25,ATV4020,Fiberglass and Fibrex clad wood venting tansom window,5,2,5,2
"47-1/4"" x 27-1/4""",47.25,27.25,ATV4024,Fiberglass and Fibrex clad wood venting tansom window,5,2,5,2
"47-1/4"" x 31-1/4""",47.25,31.25,ATV4028,Fiberglass and Fibrex clad wood venting tansom window,5,2,5,2
"47-1/4"" x 35-1/4""",47.25,35.25,ATV4030,Fiberglass and Fibrex clad wood venting tansom window,5,3,5,3
"51-1/4"" x 15-1/4""",51.25,15.25,ATV4414,Fiberglass and Fibrex clad wood venting tansom window,5,1,5,1
"51-1/4"" x 19-1/4""",51.25,19.25,ATV4418,Fiberglass and Fibrex clad wood venting tansom window,5,1,5,1
"51-1/4"" x 21-1/4""",51.25,21.25,ATV44110,Fiberglass and Fibrex clad wood venting tansom window,5,1,5,1
"51-1/4"" x 23-1/4""",51.25,23.25,ATV4420,Fiberglass and Fibrex clad wood venting tansom window,5,2,5,2
"51-1/4"" x 27-1/4""",51.25,27.25,ATV4424,Fiberglass and Fibrex clad wood venting tansom window,5,2,5,2
"51-1/4"" x 31-1/4""",51.25,31.25,ATV4428,Fiberglass and Fibrex clad wood venting tansom window,5,2,5,2
"51-1/4"" x 35-1/4""",51.25,35.25,ATV4430,Fiberglass and Fibrex clad wood venting tansom window,5,3,5,3
"55-1/4"" x 15-1/4""",55.25,15.25,ATV4814,Fiberglass and Fibrex clad wood venting tansom window,6,1,6,1
"55-1/4"" x 19-1/4""",55.25,19.25,ATV4818,Fiberglass and Fibrex clad wood venting tansom window,6,1,6,1
"55-1/4"" x 21-1/4""",55.25,21.25,ATV48110,Fiberglass and Fibrex clad wood venting tansom window,6,1,6,1
"55-1/4"" x 23-1/4""",55.25,23.25,ATV4820,Fiberglass and Fibrex clad wood venting tansom window,6,2,6,2
"55-1/4"" x 27-1/4""",55.25,27.25,ATV4824,Fiberglass and Fibrex clad wood venting tansom window,6,2,6,2
"55-1/4"" x 31-1/4""",55.25,31.25,ATV4828,Fiberglass and Fibrex clad wood venting tansom window,6,2,6,2
"55-1/4"" x 35-1/4""",55.25,35.25,ATV4830,Fiberglass and Fibrex clad wood venting tansom window,6,3,6,3
"59-1/4"" x 15-1/4""",59.25,15.25,ATV5014,Fiberglass and Fibrex clad wood venting tansom window,6,1,6,1
"59-1/4"" x 19-1/4""",59.25,19.25,ATV5018,Fiberglass and Fibrex clad wood venting tansom window,6,1,6,1
"59-1/4"" x 21-1/4""",59.25,21.25,ATV50110,Fiberglass and Fibrex clad wood venting tansom window,6,1,6,1
"59-1/4"" x 23-1/4""",59.25,23.25,ATV5020,Fiberglass and Fibrex clad wood venting tansom window,6,2,6,2
"59-1/4"" x 27-1/4""",59.25,27.25,ATV5024,Fiberglass and Fibrex clad wood venting tansom window,6,2,6,2
"59-1/4"" x 31-1/4""",59.25,31.25,ATV5028,Fiberglass and Fibrex clad wood venting tansom window,6,2,6,2
"59-1/4"" x 35-1/4""",59.25,35.25,ATV5030,Fiberglass and Fibrex clad wood venting tansom window,6,3,6,3
"63-1/4"" x 15-1/4""",63.25,15.25,ATV5414,Fiberglass and Fibrex clad wood venting tansom window,6,1,6,1
"63-1/4"" x 19-1/4""",63.25,19.25,ATV5418,Fiberglass and Fibrex clad wood venting tansom window,6,1,6,1
"63-1/4"" x 21-1/4""",63.25,21.25,ATV54110,Fiberglass and Fibrex clad wood venting tansom window,6,1,6,1
"63-1/4"" x 23-1/4""",63.25,23.25,ATV5420,Fiberglass and Fibrex clad wood venting tansom window,6,2,6,2
"63-1/4"" x 27-1/4""",63.25,27.25,ATV5424,Fiberglass and Fibrex clad wood venting tansom window,6,2,6,2
"63-1/4"" x 31-1/4""",63.25,31.25,ATV5428,Fiberglass and Fibrex clad wood venting tansom window,6,2,6,2
"63-1/4"" x 35-1/4""",63.25,35.25,ATV5430,Fiberglass and Fibrex clad wood venting tansom window,6,3,6,3
"67-1/4"" x 15-1/4""",67.25,15.25,ATV5814,Fiberglass and Fibrex clad wood venting tansom window,7,1,7,1
"67-1/4"" x 19-1/4""",67.25,19.25,ATV5818,Fiberglass and Fibrex clad wood venting tansom window,7,1,7,1
"67-1/4"" x 21-1/4""",67.25,21.25,ATV58110,Fiberglass and Fibrex clad wood venting tansom window,7,1,7,1
"67-1/4"" x 23-1/4""",67.25,23.25,ATV5820,Fiberglass and Fibrex clad wood venting tansom window,7,2,7,2
"67-1/4"" x 27-1/4""",67.25,27.25,ATV5824,Fiberglass and Fibrex clad wood venting tansom window,7,2,7,2
"67-1/4"" x 31-1/4""",67.25,31.25,ATV5828,Fiberglass and Fibrex clad wood venting tansom window,7,2,7,2
"67-1/4"" x 35-1/4""",67.25,35.25,ATV5830,Fiberglass and Fibrex clad wood venting tansom window,7,3,7,3
"71-1/4"" x 15-1/4""",71.25,15.25,ATV6014,Fiberglass and Fibrex clad wood venting tansom window,7,1,7,1
"71-1/4"" x 19-1/4""",71.25,19.25,ATV6018,Fiberglass and Fibrex clad wood venting tansom window,7,1,7,1
"71-1/4"" x 21-1/4""",71.25,21.25,ATV60110,Fiberglass and Fibrex clad wood venting tansom window,7,1,7,1
"71-1/4"" x 23-1/4""",71.25,23.25,ATV6020,Fiberglass and Fibrex clad wood venting tansom window,7,2,7,2
"71-1/4"" x 27-1/4""",71.25,27.25,ATV6024,Fiberglass and Fibrex clad wood venting tansom window,7,2,7,2
"71-1/4"" x 31-1/4""",71.25,31.25,ATV6028,Fiberglass and Fibrex clad wood venting tansom window,7,2,7,2
"71-1/4"" x 35-1/4""",71.25,35.25,ATV6030,Fiberglass and Fibrex clad wood venting tansom window,7,3,7,3
