,Width##LENGTH##INCHES,Height##LENGTH##INCHES,Designation##OTHER##,Type Comments##OTHER##,. . Lights Wide##OTHER##,. . Lights High##OTHER##,Fractional Lights Wide##OTHER##,Fractional Lights High##OTHER##
"33-1/4"" x 23-1/4""",33.25,23.25,ATF21020,Fibrex clad wood tansom window,3,2,3,2
"33-1/4"" x 25-1/4""",33.25,25.25,ATF21022,Fibrex clad wood tansom window,3,2,3,2
"33-1/4"" x 27-1/4""",33.25,27.25,ATF21024,Fibrex clad wood tansom window,3,2,3,2
"33-1/4"" x 29-1/4""",33.25,29.25,ATF21026,Fibrex clad wood tansom window,3,2,3,2
"33-1/4"" x 31-1/4""",33.25,31.25,ATF21028,Fibrex clad wood tansom window,3,2,3,2
"33-1/4"" x 35-1/4""",33.25,35.25,ATF21030,Fibrex clad wood tansom window,3,3,3,3
"33-1/4"" x 39-1/4""",33.25,39.25,ATF21034,Fibrex clad wood tansom window,3,3,3,3
"35-1/4"" x 11-1/4""",35.25,11.25,ATF3010,Fibrex clad wood tansom window,3,1,3,1
"35-1/4"" x 15-1/4""",35.25,15.25,ATF3014,Fibrex clad wood tansom window,3,1,3,1
"35-1/4"" x 17-1/4""",35.25,17.25,ATF3016,Fibrex clad wood tansom window,3,1,3,1
"35-1/4"" x 19-1/4""",35.25,19.25,ATF3018,Fibrex clad wood tansom window,3,1,3,1
"35-1/4"" x 21-1/4""",35.25,21.25,ATF30110,Fibrex clad wood tansom window,3,1,3,1
"35-1/4"" x 23-1/4""",35.25,23.25,ATF3020,Fibrex clad wood tansom window,3,2,3,2
"35-1/4"" x 25-1/4""",35.25,25.25,ATF3022,Fibrex clad wood tansom window,3,2,3,2
"35-1/4"" x 27-1/4""",35.25,27.25,ATF3024,Fibrex clad wood tansom window,3,2,3,2
"35-1/4"" x 29-1/4""",35.25,29.25,ATF3026,Fibrex clad wood tansom window,3,2,3,2
"35-1/4"" x 31-1/4""",35.25,31.25,ATF3028,Fibrex clad wood tansom window,3,2,3,2
"35-1/4"" x 35-1/4""",35.25,35.25,ATF3030,Fibrex clad wood tansom window,3,3,3,3
"35-1/4"" x 39-1/4""",35.25,39.25,ATF3034,Fibrex clad wood tansom window,3,3,3,3
"37-1/4"" x 11-1/4""",37.25,11.25,ATF3210,Fibrex clad wood tansom window,4,1,4,1
"37-1/4"" x 15-1/4""",37.25,15.25,ATF3214,Fibrex clad wood tansom window,4,1,4,1
"37-1/4"" x 17-1/4""",37.25,17.25,ATF3216,Fibrex clad wood tansom window,4,1,4,1
"37-1/4"" x 19-1/4""",37.25,19.25,ATF3218,Fibrex clad wood tansom window,4,1,4,1
"37-1/4"" x 21-1/4""",37.25,21.25,ATF32110,Fibrex clad wood tansom window,4,1,4,1
"37-1/4"" x 23-1/4""",37.25,23.25,ATF3220,Fibrex clad wood tansom window,4,2,4,2
"37-1/4"" x 25-1/4""",37.25,25.25,ATF3222,Fibrex clad wood tansom window,4,2,4,2
"37-1/4"" x 27-1/4""",37.25,27.25,ATF3224,Fibrex clad wood tansom window,4,2,4,2
"37-1/4"" x 29-1/4""",37.25,29.25,ATF3226,Fibrex clad wood tansom window,4,2,4,2
"37-1/4"" x 31-1/4""",37.25,31.25,ATF3228,Fibrex clad wood tansom window,4,2,4,2
"37-1/4"" x 35-1/4""",37.25,35.25,ATF3230,Fibrex clad wood tansom window,4,3,4,3
"37-1/4"" x 39-1/4""",37.25,39.25,ATF3234,Fibrex clad wood tansom window,4,3,4,3
"39-1/4"" x 11-1/4""",39.25,11.25,ATF3410,Fibrex clad wood tansom window,4,1,4,1
"39-1/4"" x 15-1/4""",39.25,15.25,ATF3414,Fibrex clad wood tansom window,4,1,4,1
"39-1/4"" x 17-1/4""",39.25,17.25,ATF3416,Fibrex clad wood tansom window,4,1,4,1
"39-1/4"" x 19-1/4""",39.25,19.25,ATF3418,Fibrex clad wood tansom window,4,1,4,1
"39-1/4"" x 21-1/4""",39.25,21.25,ATF34110,Fibrex clad wood tansom window,4,1,4,1
"39-1/4"" x 23-1/4""",39.25,23.25,ATF3420,Fibrex clad wood tansom window,4,2,4,2
"39-1/4"" x 25-1/4""",39.25,25.25,ATF3422,Fibrex clad wood tansom window,4,2,4,2
"39-1/4"" x 27-1/4""",39.25,27.25,ATF3424,Fibrex clad wood tansom window,4,2,4,2
"39-1/4"" x 29-1/4""",39.25,29.25,ATF3426,Fibrex clad wood tansom window,4,2,4,2
